---NASA TLX V1.0.3 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,Pair-Human-Factors
STUDY GROUP:,
SUBJECT ID:,002
TRIAL:,2
TRIAL DATE TIME:,04-06-2024 15:41
---DATA---
PAIRWISE CHOICES, SELECTION
Performance vs. Temporal Demand,Performance
Physical Demand vs. Performance,Performance
Temporal Demand vs. Effort,Temporal Demand
Performance vs. Mental Demand,Performance
Performance vs. Frustration,Performance
Frustration vs. Effort,Frustration
Effort vs. Physical Demand,Effort
Physical Demand vs. Temporal Demand,Temporal Demand
Effort vs. Performance,Performance
Physical Demand vs. Frustration,Frustration
Temporal Demand vs. Mental Demand,Temporal Demand
Mental Demand vs. Effort,Mental Demand
Frustration vs. Mental Demand,Mental Demand
Temporal Demand vs. Frustration,Temporal Demand
Mental Demand vs. Physical Demand,Mental Demand
