---NASA TLX V1.0.3 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,Pair-Human-Factors
STUDY GROUP:,
SUBJECT ID:,006
TRIAL:,1
TRIAL DATE TIME:,04-01-2024 14:24
---DATA---
PAIRWISE CHOICES, SELECTION
Mental Demand vs. Physical Demand,Mental Demand
Temporal Demand vs. Frustration,Temporal Demand
Mental Demand vs. Effort,Mental Demand
Performance vs. Frustration,Performance
Performance vs. Temporal Demand,Performance
Physical Demand vs. Temporal Demand,Physical Demand
Physical Demand vs. Frustration,Physical Demand
Temporal Demand vs. Effort,Effort
Frustration vs. Mental Demand,Mental Demand
Temporal Demand vs. Mental Demand,Mental Demand
Physical Demand vs. Performance,Performance
Performance vs. Mental Demand,Mental Demand
Effort vs. Physical Demand,Effort
Frustration vs. Effort,Effort
Effort vs. Performance,Effort
