---NASA TLX V1.0.3 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,Pair-Human-Factors
STUDY GROUP:,
SUBJECT ID:,001
TRIAL:,1
TRIAL DATE TIME:,04-01-2024 14:24
---DATA---
PAIRWISE CHOICES, SELECTION
Mental Demand vs. Effort,Effort
Effort vs. Performance,Performance
Physical Demand vs. Frustration,Physical Demand
Mental Demand vs. Physical Demand,Mental Demand
Physical Demand vs. Temporal Demand,Temporal Demand
Frustration vs. Mental Demand,Mental Demand
Performance vs. Mental Demand,Performance
Frustration vs. Effort,Effort
Performance vs. Frustration,Performance
Temporal Demand vs. Frustration,Temporal Demand
Performance vs. Temporal Demand,Performance
Temporal Demand vs. Effort,Effort
Temporal Demand vs. Mental Demand,Mental Demand
Physical Demand vs. Performance,Performance
Effort vs. Physical Demand,Effort
