---NASA TLX V1.0.3 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,IML-Test
STUDY GROUP:,
SUBJECT ID:,007
TRIAL:,1
TRIAL DATE TIME:,04-05-2024 13:19
---DATA---
PAIRWISE CHOICES, SELECTION
Physical Demand vs. Frustration,Frustration
Mental Demand vs. Physical Demand,Mental Demand
Physical Demand vs. Performance,Performance
Frustration vs. Effort,Effort
Physical Demand vs. Temporal Demand,Temporal Demand
Temporal Demand vs. Frustration,Temporal Demand
Mental Demand vs. Effort,Mental Demand
Frustration vs. Mental Demand,Mental Demand
Effort vs. Physical Demand,Effort
Performance vs. Frustration,Performance
Performance vs. Temporal Demand,Performance
Performance vs. Mental Demand,Mental Demand
Temporal Demand vs. Mental Demand,Mental Demand
Temporal Demand vs. Effort,Effort
Effort vs. Performance,Effort
