---NASA TLX V1.0.3 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,Pair-Human-Factors
STUDY GROUP:,
SUBJECT ID:,003
TRIAL:,1
TRIAL DATE TIME:,04-06-2024 15:28
---DATA---
PAIRWISE CHOICES, SELECTION
Physical Demand vs. Temporal Demand,Temporal Demand
Temporal Demand vs. Frustration,Temporal Demand
Temporal Demand vs. Mental Demand,Mental Demand
Effort vs. Performance,Effort
Performance vs. Mental Demand,Mental Demand
Frustration vs. Mental Demand,Mental Demand
Physical Demand vs. Frustration,Physical Demand
Temporal Demand vs. Effort,Effort
Performance vs. Frustration,Performance
Physical Demand vs. Performance,Performance
Frustration vs. Effort,Effort
Mental Demand vs. Physical Demand,Mental Demand
Mental Demand vs. Effort,Mental Demand
Performance vs. Temporal Demand,Temporal Demand
Effort vs. Physical Demand,Effort
