---NASA TLX V1.0.3 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,Pair-Human-Factors
STUDY GROUP:,
SUBJECT ID:,006
TRIAL:,2
TRIAL DATE TIME:,04-01-2024 14:38
---DATA---
PAIRWISE CHOICES, SELECTION
Temporal Demand vs. Frustration,Frustration
Physical Demand vs. Frustration,Physical Demand
Frustration vs. Effort,Effort
Physical Demand vs. Temporal Demand,Physical Demand
Effort vs. Performance,Effort
Physical Demand vs. Performance,Performance
Effort vs. Physical Demand,Effort
Mental Demand vs. Physical Demand,Mental Demand
Performance vs. Frustration,Performance
Temporal Demand vs. Effort,Effort
Performance vs. Temporal Demand,Performance
Frustration vs. Mental Demand,Mental Demand
Temporal Demand vs. Mental Demand,Mental Demand
Mental Demand vs. Effort,Mental Demand
Performance vs. Mental Demand,Mental Demand
