---NASA TLX V1.0.3 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,Pair-Human-Factors
STUDY GROUP:,
SUBJECT ID:,002
TRIAL:,1
TRIAL DATE TIME:,04-06-2024 15:28
---DATA---
PAIRWISE CHOICES, SELECTION
Effort vs. Performance,Performance
Performance vs. Mental Demand,Performance
Temporal Demand vs. Mental Demand,Temporal Demand
Effort vs. Physical Demand,Effort
Physical Demand vs. Temporal Demand,Temporal Demand
Mental Demand vs. Effort,Mental Demand
Physical Demand vs. Frustration,Physical Demand
Frustration vs. Mental Demand,Mental Demand
Performance vs. Frustration,Performance
Mental Demand vs. Physical Demand,Mental Demand
Frustration vs. Effort,Effort
Temporal Demand vs. Frustration,Temporal Demand
Performance vs. Temporal Demand,Performance
Physical Demand vs. Performance,Performance
Temporal Demand vs. Effort,Effort
