GSR Conductance CAL (u Siemens)_001,GSR Conductance CAL (u Siemens)_002,GSR Conductance CAL (u Siemens)_003,GSR Conductance CAL (u Siemens)_004,GSR Conductance CAL (u Siemens)_005,GSR Conductance CAL (u Siemens)_006,GSR Conductance CAL (u Siemens)_007,GSR Conductance CAL (u Siemens)_008
,0.25518463353119586,-2.4814471412003267,-1.4521998328758359,0.1569403460437508,,-1.064796526977213,0.544262143394178
,0.25518463353119586,-2.4776622644665065,-1.4482644985766193,0.1569403460437508,-2.763599882008694,-1.0704322634714196,0.5454294248445316
,0.25518463353119586,-2.4814471412003267,-1.4443285238649863,0.1465206687711654,,-1.064796526977213,0.544262143394178
,0.24701448799651327,-2.4776622644665065,-1.4443285238649863,0.1569403460437508,,-1.0704322634714196,0.5454294248445316
,0.24701448799651327,-2.485232017934147,-1.4403931895657698,0.1465206687711654,,-1.064796526977213,0.544262143394178
,0.25518463353119586,-2.4814471412003267,-1.4403931895657698,0.1465206687711654,,-1.0704322634714196,0.5454294248445316
-0.2729057416183898,0.25518463353119586,-2.4814471412003267,-1.4325218805549202,0.1569403460437508,,-1.0704322634714196,0.544262143394178
-0.2737053132263697,0.24701448799651327,-2.4814471412003267,-1.4403931895657698,0.1569403460437508,,-1.0760670829893062,0.5454294248445316
-0.2737053132263697,0.24701448799651327,-2.485232017934147,-1.4325218805549202,0.16735832795719646,,-1.0704322634714196,0.5430948619438244
-0.2745050995420849,0.24701448799651327,-2.4814471412003267,-1.4325218805549202,0.1569403460437508,-2.763599882008694,-1.0704322634714196,0.544262143394178
-0.2737053132263697,0.24701448799651327,-2.4814471412003267,-1.4285859058432873,0.1465206687711654,,-1.0760670829893062,0.5430948619438244
-0.2737053132263697,0.24701448799651327,-2.485232017934147,-1.4285859058432873,0.1569403460437508,-2.763599882008694,-1.0760670829893062,0.544262143394178
,0.23884510552763194,-2.4814471412003267,-1.4285859058432873,0.1465206687711654,,-1.0760670829893062,0.544262143394178
,0.24701448799651327,-2.485232017934147,-1.4246505715440694,0.1465206687711654,,-1.0760670829893062,0.5430948619438244
,0.24701448799651327,-2.4814471412003267,-1.4246505715440694,0.1465206687711654,,-1.0760670829893062,0.544262143394178
,0.24701448799651327,-2.489016894667968,-1.4207145968324388,0.1569403460437508,-2.763599882008694,-1.0760670829893062,0.544262143394178
,0.24701448799651327,-2.485232017934147,-1.4167792625332212,0.1465206687711654,,-1.0817028194835163,0.544262143394178
,0.24701448799651327,-2.489016894667968,-1.4207145968324388,0.1569403460437508,-2.779720816064406,-1.0760670829893062,0.544262143394178
,0.24701448799651327,-2.485232017934147,-1.4167792625332212,0.1569403460437508,,-1.0760670829893062,0.544262143394178
,0.23884510552763194,-2.489016894667968,-1.4167792625332212,0.1465206687711654,-2.763599882008694,-1.0817028194835163,0.544262143394178
,0.23884510552763194,-2.485232017934147,-1.4128432878215882,0.1569403460437508,,-1.0873376390014011,0.544262143394178
,0.24701448799651327,-2.485232017934147,-1.4089079535223716,0.1569403460437508,-2.763599882008694,-1.0760670829893062,0.544262143394178
-0.2737053132263697,0.23884510552763194,-2.485232017934147,-1.4089079535223716,0.1569403460437508,,-1.0873376390014011,0.544262143394178
,0.23884510552763194,-2.489016894667968,-1.4049719788107384,0.1465206687711654,,-1.0760670829893062,0.544262143394178
-0.2745050995420849,0.23884510552763194,-2.489016894667968,-1.4049719788107384,0.1465206687711654,,-1.0873376390014011,0.544262143394178
,0.23884510552763194,-2.489016894667968,-1.4049719788107384,0.1465206687711654,,-1.0817028194835163,0.5430948619438244
-0.2753046711500644,0.23884510552763194,-2.489016894667968,-1.4010366445115219,0.1465206687711654,,-1.0873376390014011,0.5430948619438244
,0.23884510552763194,-2.489016894667968,-1.4010366445115219,0.1569403460437508,,-1.0817028194835163,0.544262143394178
-0.2761044574657796,0.23884510552763194,-2.489016894667968,-1.397100669799889,0.1465206687711654,,-1.0873376390014011,0.544262143394178
,0.23884510552763194,-2.485232017934147,-1.397100669799889,0.1465206687711654,,-1.0817028194835163,0.5430948619438244
-0.2761044574657796,0.23884510552763194,-2.492801771401787,-1.397100669799889,0.1465206687711654,,-1.0873376390014011,0.5419275804934708
,0.23067495999294932,-2.489016894667968,-1.3931653355006723,0.1465206687711654,,-1.0873376390014011,0.544262143394178
-0.2761044574657796,0.23884510552763194,-2.492801771401787,-1.3931653355006723,0.1569403460437508,,-1.0929733754956112,0.5430948619438244
,0.23884510552763194,-2.489016894667968,-1.3892293607890394,0.1465206687711654,,-1.0929733754956112,0.544262143394178
-0.27690402907375905,0.23067495999294932,-2.492801771401787,-1.3892293607890394,0.1465206687711654,,-1.0929733754956112,0.5430948619438244
,0.23067495999294932,-2.489016894667968,-1.3852940264898228,0.16735832795719646,,-1.0929733754956112,0.544262143394178
-0.27690402907375905,0.23067495999294932,-2.492801771401787,-1.3852940264898228,0.1465206687711654,,-1.0929733754956112,0.5419275804934708
,0.23884510552763194,-2.489016894667968,-1.3852940264898228,0.1465206687711654,,-1.0929733754956112,0.544262143394178
-0.27690402907375905,0.23067495999294932,-2.492801771401787,-1.3852940264898228,0.1569403460437508,,-1.0929733754956112,0.5430948619438244
,0.23067495999294932,-2.489016894667968,-1.3852940264898228,0.1465206687711654,,-1.0929733754956112,0.544262143394178
-0.2777038153894743,0.23067495999294932,-2.492801771401787,-1.3813580517781898,0.1465206687711654,,-1.0929733754956112,0.5430948619438244
,0.23884510552763194,-2.492801771401787,-1.3813580517781898,0.1465206687711654,,-1.098608195013496,0.544262143394178
-0.2761044574657796,0.23067495999294932,-2.492801771401787,-1.3774227174789733,0.1465206687711654,,-1.0929733754956112,0.5430948619438244
,0.23067495999294932,-2.492801771401787,-1.3774227174789733,0.1465206687711654,,-1.098608195013496,0.544262143394178
-0.2777038153894743,0.23067495999294932,-2.492801771401787,-1.3774227174789733,0.1361026868577197,,-1.098608195013496,0.5430948619438244
,0.23067495999294932,-2.492801771401787,-1.3734867427673403,0.1465206687711654,,-1.098608195013496,0.5430948619438244
-0.2777038153894743,0.23067495999294932,-2.492801771401787,-1.3734867427673403,0.1569403460437508,,-1.098608195013496,0.5419275804934708
