---NASA TLX V1.0.3 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,IML-Test
STUDY GROUP:,
SUBJECT ID:,007
TRIAL:,2
TRIAL DATE TIME:,04-05-2024 13:37
---DATA---
PAIRWISE CHOICES, SELECTION
Mental Demand vs. Effort,Mental Demand
Physical Demand vs. Performance,Performance
Performance vs. Mental Demand,Mental Demand
Temporal Demand vs. Frustration,Temporal Demand
Physical Demand vs. Frustration,Frustration
Temporal Demand vs. Effort,Effort
Frustration vs. Effort,Effort
Performance vs. Temporal Demand,Temporal Demand
Frustration vs. Mental Demand,Mental Demand
Temporal Demand vs. Mental Demand,Mental Demand
Effort vs. Physical Demand,Effort
Effort vs. Performance,Effort
Mental Demand vs. Physical Demand,Mental Demand
Performance vs. Frustration,Performance
Physical Demand vs. Temporal Demand,Temporal Demand
